frase;localizzazione;tempo;grave;moto;deboli;;;
incidente in strada varana, in località castell'aicardi, san secondo parmense;1;0;0;0;0;;;
intorno alle 13, per cause ancora in corso d'accertamento, un camion si è ribaltato e il suo conducente è stato trasportato al pronto soccorso di fidenza in condizioni gravi;0;1;1;0;0;;;
la polizia locale è intervenuta sul posto per chiarire la dinamica;0;0;0;0;0;;;
i primi soccorsi sono arrivati dagli uomini del 118;0;0;1;0;0;;;
grave incidente a baganzola di parma nel primo pomeriggio;1;0;1;0;0;;;
intorno alle 15:10, per cause ancora in corso d'accertamento, un furgone e un'auto si sono scontrati in tangenziale;0;1;0;0;0;;113;deboli
un impatto violento che ha provocato l'uscita di strada del furgone, precipitato in un secondo momento in un viadotto a ridosso della strada ;0;0;1;0;0;;;
i soccorritori del 118 hanno ritrovato il mezzo nel cortile di un'azienda;0;0;0;0;0;;54;moto
l'autista, soccorso da un'ambulanza, ha riportato ferite di media gravità ed è stato trasportato al pronto soccorso di parma ;0;0;1;0;0;;;
nell'impatto sarebbe rimasto ferito anche il conducente dell'auto;0;0;1;0;0;;;
non si conoscono ancora le sue condizioni;0;0;0;0;0;;;
nella mattinata di oggi, domenica 26 febbraio, si è verificato un incidente stradale che ha coinvolto anche un'ambulanza ma che non ha provocato, fortunatamente, feriti gravi;0;1;0;0;0;;;
l'episodio si è verificato in viale milazzo a parma verso le ore 7 ;1;1;0;0;0;;;
la dinamica è in corso di ricostruzione da parte della polizia locale il mezzo, impegnato in un servizio di trasporto, si è scontrato con un'auto che stava percorrendo la stessa via;0;0;0;0;0;;;
il bilancio è di un ferito lieve, che è stato comunque trasportato al pronto soccorso dell'ospedale maggiorefac per accertamenti ;0;0;0;0;0;;;
le sue condizioni di salute non destano preoccupazione;0;0;0;0;0;;;
grave incidente stradale all'alba di oggi, domenica 26 febbraio a san polo di torrile;1;1;1;0;0;;;
per cause in corso di accertamento il conducente di un'auto ha perso il controllo del veicolo, che è andato a sbattere contro il guardrail;0;0;0;0;0;;;
in conseguenza dell'impatto l'auto è rimasta danneggiata ed il conducente ha riportato ferite di una certa gravità in varie parti del corpo;0;0;1;0;0;;;
sul posto, oltre agli operatori del 118, anche le forze dell'ordine per i rilievi previsti per legge ;0;0;0;0;0;;;
secondo le prime informazioni l'incidente non avrebbe coinvolto altri veicoli;0;0;0;0;0;;;
 le condizioni di salute del ferito sarebbero gravi ma non si troverebbe in pericolo di vita ;0;0;1;0;0;;;
si è schiantato contro un'auto che si trovava in sosta lungo via fleming;1;0;0;0;0;;;
il conducente di un'auto è stato coinvolto in un incidente stradale nella tarda serata di giovedì 23 febbraio;0;1;0;0;0;;;
erano da poco passate le ore 2230 quando, per cause in corso di accertamento, il conducente del veicolo ha perso il controllo del mezzo ed è finito contro un'auto parcheggiata;0;1;0;0;0;;;
sul posto sono arrivati i soccorritori del 118 che hanno prestato le prime cure all'uomo per poi trasportarlo al pronto soccorso dell'ospedale maggiore di parma;0;0;0;0;0;;;
secondo le prime informazioni avrebbe riportato ferite gravi ma non sarebbe in pericolo di vita;0;0;1;0;0;;;
grave incidente stradale alle ore 23 di giovedì 23 febbraio lungo l'autostrada a1;1;1;1;0;0;;;
per cause in corso di accertamento due auto e due tir si sono scontrati mentre stavano percorrendo la corsia in direzione nord;1;0;0;0;0;;;
lo scontro è stato particolarmente violento ed è avvenuto all'altezza del chilometro 116 in direzione milano, tra i caselli di parma e di terre di canossa/campegine ;1;0;1;0;0;;;
secondo le prime informazioni due persone sarebbero rimaste ferite ed avrebbero riportato traumi di una certa gravità in varie parti del corpo;0;0;1;0;0;;;
sul posto le ambulanze del 118 e i vigili del fuoco e le pattuglie della polizia stradale;0;0;0;0;0;;;
 il tratto autostradale è stato chiuso e poi riaperto alle 430 di stamattina;0;0;0;0;0;;;
grave incidente stradale nella mattinata di mercoledì 22 febbraio lungo l'autostrada a1 tra parma e fidenza, nei pressi del bivio per l'autostrada a15;1;1;1;0;0;;;
per causa in corso di accertamento il conducente di un'auto ha perso il controllo del veicolo, che si è ribaltato;0;0;0;0;0;;;
sul posto sono arrivati i soccorritori del 118 e la polizia stradale;0;0;0;0;0;;;
il conducente è stato trasportato al pronto soccorso dell'ospedale maggiore di parma in condizioni di media gravità;0;0;1;0;0;;;
secondo le prime informazioni non sarebbero rimasti coinvolti altri veicoli;0;0;0;0;0;;;
l'incidente è avvenuto lungo la corsia in direzione milano;1;0;0;0;0;;;
momenti di paura nella mattinata di mercoledì 22 febbraio a fidenza per lo scontro, avvenuto verso le ore 620, tra un'auto e una bicicletta;1;1;0;0;1;;;
nelle prime ore della mattinata infatti i due mezzi sono venuti a contatti in via caduti di cefalonia;1;1;0;0;0;;;
l'allarme è scattato da subito e sul posto l'ambulanza infermieristica di fidenza, che ha trasportato il ferito al pronto soccorso dell'ospedale di vaio di fidenza;0;0;1;0;0;;;
secondo le prime informazioni le condizioni del ferito sarebbero gravi ma non si troverebbe in pericolo di vita;0;0;1;0;0;;;
sul posto anche le forze dell'ordine, che hanno effettuato i rilievi previsti per legge e gestito il traffico in zona;0;0;0;0;0;;;
È morto il ciclista investito sabato mattina a monticelli terme da un'auto;1;0;1;0;1;;;
la vittima è il ciclomotore 85enne domenico vernamonte;0;0;1;1;0;;;
l'uomo, che si trovava a bordo della sua bicicletta quando, in corrispondenza di una rotonda, è stato centrato dal veicolo, è deceduto poco dopo il ricovero d'urgenza nel reparto di rianimazione dell'ospedale maggiore di parma;0;0;1;0;1;;;
grave incidente stradale nel primo pomeriggio di domenica 19 febbraio lungo strada argini, all'altezza di basilicanova;1;1;1;0;0;;;
per cause in corso di accertamento due auto si sono scontrate: l'impatto è stato violento e i due mezzi sono stati danneggiati nella parte anteriore;0;0;1;0;0;;;
l'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118, che hanno prestato le prime cure ad uno dei conducenti, per poi trasportarlo al pronto soccorso dell'ospedale maggiore di parma;0;0;0;0;0;;;
secondo le prime informazioni le sue condizioni di salute sarebbero gravi ma non si troverebbe in pericolo di vita ;0;0;1;0;0;;;
paura nella serata di venerdì 17 febbraio a borghetto di noceto;1;1;0;0;0;;;
per cause in corso di accertamento un'auto, un'alfa romeo stelvio, si è schiantata contro il cancello di un'abitazione mentre stava percorrendo strada santa margherita;1;0;1;0;0;;;
erano da poco passate le 2230 quando il conducente ha perso il controllo del veicolo, che è andato a finire contro il cancello, colpendo anche un muretto e un palo;0;1;0;0;0;;;
paura lungo via montanara, nella zona di gaione, nella mattinata di giovedì 16 febbraio;1;1;0;0;0;;;
per cause in corso di accertamento tre auto si sono scontrate in corrispondenza dell'incrocio con via ferioli;1;0;0;0;0;;;
l'impatto tra i veicoli è stato particolarmente violento: due persone sono rimaste ferite;0;0;1;0;0;;;
sul posto i soccorritori del 118, oltre alla polizia locale che ha effettuato i rilievi previsti per legge;0;0;0;0;0;;;
secondo le prime informazioni i due feriti avrebbero riportato ferite gravi, una delle due in particolare si troverebbe in condizioni serie;0;0;1;0;0;;;
i conducenti di due auto sono stati trasportati al pronto soccorso dell'ospedale maggiore di parma;0;0;0;0;0;;;
sono in corso accertamenti medici per quanto riguarda le loro condizioni di salute;0;0;0;0;0;;;
grave incidente nella mattinata di martedì 14 febbraio lungo via europa, nella zona di moletolo;1;1;1;0;0;;;
per cause in corso di accertamento una renault captur si è ribaltata ed è finita fuori strada;0;0;0;0;0;;;
erano da poco passate le ore 815 quando il conducente ha perso il controllo del mezzo, che si è poi capovolto;0;1;0;0;0;;;
a bordo dell'auto c'era anche un passeggero;0;0;0;0;0;;;
l'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118, oltre alla polizia stradale;0;0;0;0;0;;;
il conducente e il passeggero sono stati medicati sul posto dai sanitari del 118 e poi trasportati al pronto soccorso dell'ospedale maggiore di parma;0;0;0;0;0;;;
secondo le prime informazioni le loro condizioni di salute sarebbero gravi ma non si troverebbero, entrambi, in pericolo di vita;0;0;1;0;0;;;
dopo l'incidente si sono verificati alcuni rallentamenti lungo via europa;0;0;0;0;0;;;
