articolo_id;frase;localizzazione;grave
1;Dall'investimento e uccisione di una donna brasiliana lungo la tangenziale, fino ai quattro morti sulle strade a cavallo tra Natale e Capodanno, dalla morte del sindaco di Soragna Matteo Concari a quella della 21enne Irene Montruccoli, deceduta in ospedale per un malore improvviso Dall'omicidio di Vitalie Sofroni, accoltellato a morte nel parcheggio di Gaione per aver cercato di difendere un'amica alla strage della via Emilia - il tragico schianto del 30 ottobre in cui hanno perso la vita 4 persone, tra cui tre bambini - all'investimento e uccisione di una donna brasiliana lungo la tangenziale, fino ai quattro morti sulle strade a cavallo tra Natale e Capodanno.;1;1
2;Lo chef 43enne diplomato all'Istituto alberghiero Magnaghi di Salsomaggiore Terme è stato investito e ucciso nella notte di Natale tra Boretto e Viadana Un uomo di 60 anni, originario della provincia di Cosenza e residente in Svizzera, è stato arrestato dai carabinieri di Viadana con l'accusa di essere il conducente dell'auto pirata che ha investito e ucciso nella notte di Natale tra Boretto e ViadanaAndrea Lodi Rizzini, il cuoco 43enne diplomato all'Istituto alberghiero Magnaghi di Salsomaggiore Terme.;1;1
3;Sarebbe una Bmw bianca, l'appello dei carabinieri al conducente di presentarsi in caserma Sarebbe una Bmw serie 1 di colore bianco l'auto pirata che hainvestitoe ucciso Andrea Lodi Rizzini, il cuoco diplomato all'Istituto alberghiero Magnaghi di Salsomaggiore Terme, nella notte di Natale tra Boretto e Viadana.;1;0
4;La vittima Tiziana Sani è stata estratta dai vigili del fuoco di Langhirano.;1;1
5;L'incidente si è verificato verso le ore 7: sul posto le ambulanze e i vigili del fuoco Nella mattinata di mercoledì 28 dicembre due auto si sono scontrate nel territorio del comune di Solignano.;1;1
6;Tra le ore 13 del 22 dicembre e le 3 di notte del 24 dicembre tre persone sono decedute in seguito a tre incidenti stradali a Collecchio, Viazzano e Parola di Fontanellato Tre morti in meno di 48 ore.;1;1
7;La strada è rimasta chiusa durante le attività di soccorso Incidente oggi pomeriggio sulla strada Pedemontana all'altezza di Bannone (frazione di Traversetolo).;1;0
8;I tre feriti sono stati ricoverati in ospedale dopo l'intervento dei vigili del fuoco per estrarli dal mezzo Auto fuoi strada a Sant'Andrea di Busseto, stanotte intono all'1,30.;1;1
9;L'incidente è avvenuto alle ore 15: una delle auto è distrutta nella parte anteriore Grave incidente stradale alle ore 15 del 23 dicembre a Collecchio, nella zona di strada Mulattiere in corrispondenza dell'angolo con strada consortile.;1;1
10;L'incidente si è verificato poco prima delle ore 10 Un incidente stradale, che si è verificato prima delle ore 10 del 22 dicembre lungo l'autostrada A1 tra i caselli di Parma e Terre di Canossa ha provocato due chilometri di coda nel tratto interessato.;1;0
11;E' la seconda vittima della strada in otto ore: alle 13 Maria Teresa Bardini aveva perso la vita a causa di uno scontro frontale lungo la tangenziale di Collecchio Tragedia dopo le ore 21 di giovedì 22 dicembre a Varano dè Melegari, lungo la strada provinciale 28.;1;1
12;L'incidente è avvenuto alle ore 17 tra i caselli di Parma e di Terre di Canossa: traffico in tilt anche lungo le tangenziali Incidente tra tre auto verso le ore 17 del 22 dicembre lungo l'autostrada A1, tra Parma e Terre di Canossa.;1;0
13;La vittima è Maria Teresa Bardini Tragico incidente stradale poco prima delle ore 13 del 22 dicembre lungo la tangenziale di Collecchio, in corrispondenza della rotonda per Madregolo.;1;1
14;La testimonianza della donna che alle 7.30 del 20 dicembre è stata centrata dal mezzo dopo aver smontato dal turno di notte alla Città di Parma Nelle prime ore della mattinata del 20 dicembre un'infermiera di 33 anni, che lavora alla Città di Parma, è stata investita da un'auto nella zona di via Montebello a Parma, mentre stava attraversando sulle strisce pedonali che si trovano verso la pista pedonale del parco Bizzozzero.;1;1
15;L'incidente poco prima delle 9: sul posto l'ambulanza e la polizia locale Grave incidente nella mattinata di mercoledì 21 dicembre, poco prima delle ore 9.;1;1
16;L'incidente si è verificato in località La Rampa, lungo la provinciale per Medesano Grave incidente poco prima delle ore 23 di martedì 20 dicembre in località La Rampa a Noceto, lungo la provinciale per Medesano.;1;1
17;L'incidente oggi pomeriggio all'altezza del Centro Torri Paura per un pedone investito da un'auto oggi pomeriggio intono alle 17 in via San Leonardo, all'altezza del Centro Torri.;1;1
18;Incidenti alle 7.30 e alle 8.20 in via Montebello e in viale Piacenza Due ciclisti sono rimasti feriti nella mattinata di martedì 20 dicembre in meno di un'ora.;1;1
19;Per cause in corso di accertamento, poco dopo le ore 10, un'auto guidata da una donna è finita fuori strada, mentre stava percorrendo via Vecchia di Sala.;1;1
