articolo_id;frase;entities;grave;latitudine;longitudine;pos
1;Dall'investimento e uccisione di una donna brasiliana lungo la tangenziale, fino ai quattro morti sulle strade a cavallo tra Natale e Capodanno, dalla morte del sindaco di Soragna Matteo Concari a quella della 21enne Irene Montruccoli, deceduta in ospedale per un malore improvviso Dall'omicidio di Vitalie Sofroni, accoltellato a morte nel parcheggio di Gaione per aver cercato di difendere un'amica alla strage della via Emilia - il tragico schianto del 30 ottobre in cui hanno perso la vita 4 persone, tra cui tre bambini - all'investimento e uccisione di una donna brasiliana lungo la tangenziale, fino ai quattro morti sulle strade a cavallo tra Natale e Capodanno.;Soragna, Gaione, via Emilia;1;44.9281878;10.1235973;Soragna, Parma, Emilia-Romagna, 43019, Italia
2;Lo chef 43enne diplomato all'Istituto alberghiero Magnaghi di Salsomaggiore Terme è stato investito e ucciso nella notte di Natale tra Boretto e Viadana Un uomo di 60 anni, originario della provincia di Cosenza e residente in Svizzera, è stato arrestato dai carabinieri di Viadana con l'accusa di essere il conducente dell'auto pirata che ha investito e ucciso nella notte di Natale tra Boretto e ViadanaAndrea Lodi Rizzini, il cuoco 43enne diplomato all'Istituto alberghiero Magnaghi di Salsomaggiore Terme.;Salsomaggiore Terme, Cosenza, Svizzera, Viadana, Boretto, ViadanaAndrea;1;44.814762;9.979576;Salsomaggiore Terme, Parma, Emilia-Romagna, Italia
3;Sarebbe una Bmw bianca, l'appello dei carabinieri al conducente di presentarsi in caserma Sarebbe una Bmw serie 1 di colore bianco l'auto pirata che hainvestitoe ucciso Andrea Lodi Rizzini, il cuoco diplomato all'Istituto alberghiero Magnaghi di Salsomaggiore Terme, nella notte di Natale tra Boretto e Viadana.;Salsomaggiore Terme, Boretto, Viadana;0;44.814762;9.979576;Salsomaggiore Terme, Parma, Emilia-Romagna, Italia
4;La vittima Tiziana Sani è stata estratta dai vigili del fuoco di Langhirano.;Langhirano;1;44.6130645;10.2661136;Langhirano, Parma, Emilia-Romagna, 43013, Italia
5;L'incidente si è verificato verso le ore 7: sul posto le ambulanze e i vigili del fuoco Nella mattinata di mercoledì 28 dicembre due auto si sono scontrate nel territorio del comune di Solignano.;Solignano;1;44.613057;9.97548;Solignano, Parma, Emilia-Romagna, Italia
6;Tra le ore 13 del 22 dicembre e le 3 di notte del 24 dicembre tre persone sono decedute in seguito a tre incidenti stradali a Collecchio, Viazzano e Parola di Fontanellato Tre morti in meno di 48 ore.;Collecchio, Viazzano, Parola di Fontanellato;1;44.7520202;10.2166909;Collecchio, Parma, Emilia-Romagna, 43044, Italia
7;La strada è rimasta chiusa durante le attività di soccorso Incidente oggi pomeriggio sulla strada Pedemontana all'altezza di Bannone (frazione di Traversetolo).;strada Pedemontana, Bannone, Traversetolo;0;44.6379296;10.4009023;Strada Pedemontana, Vignale, Traversetolo, Parma, Emilia-Romagna, 43029, Italia
8;I tre feriti sono stati ricoverati in ospedale dopo l'intervento dei vigili del fuoco per estrarli dal mezzo Auto fuoi strada a Sant'Andrea di Busseto, stanotte intono all'1,30.;Sant'Andrea di Busseto;1;44.9559916;10.0116093;Chiesa di Sant'Andrea, Traversante della Chiesa, Contrada della Chiesa, Busseto, Parma, Emilia-Romagna, 43011, Italia
9;L'incidente è avvenuto alle ore 15: una delle auto è distrutta nella parte anteriore Grave incidente stradale alle ore 15 del 23 dicembre a Collecchio, nella zona di strada Mulattiere in corrispondenza dell'angolo con strada consortile.;Collecchio, strada Mulattiere;1;44.7520202;10.2166909;Collecchio, Parma, Emilia-Romagna, 43044, Italia
10;L'incidente si è verificato poco prima delle ore 10 Un incidente stradale, che si è verificato prima delle ore 10 del 22 dicembre lungo l'autostrada A1 tra i caselli di Parma e Terre di Canossa ha provocato due chilometri di coda nel tratto interessato.;l'autostrada A1, Terre di Canossa;0;44.8137898;10.413487;Autostrada del Sole, Casalbaroncolo, San Lazzaro, Beneceto, Parma, Val d’Enza, Parma, Emilia-Romagna, 43058, Italia
11;E' la seconda vittima della strada in otto ore: alle 13 Maria Teresa Bardini aveva perso la vita a causa di uno scontro frontale lungo la tangenziale di Collecchio Tragedia dopo le ore 21 di giovedì 22 dicembre a Varano dè Melegari, lungo la strada provinciale 28.;Collecchio Tragedia, Varano dè Melegari, la strada provinciale 28;1;44.68806;10.011479;Varano de' Melegari, Parma, Emilia-Romagna, Italia
12;L'incidente è avvenuto alle ore 17 tra i caselli di Parma e di Terre di Canossa: traffico in tilt anche lungo le tangenziali Incidente tra tre auto verso le ore 17 del 22 dicembre lungo l'autostrada A1, tra Parma e Terre di Canossa.;Terre di Canossa, l'autostrada A1;0;44.8137898;10.413487;Autostrada del Sole, Casalbaroncolo, San Lazzaro, Beneceto, Parma, Val d’Enza, Parma, Emilia-Romagna, 43058, Italia
13;La vittima è Maria Teresa Bardini Tragico incidente stradale poco prima delle ore 13 del 22 dicembre lungo la tangenziale di Collecchio, in corrispondenza della rotonda per Madregolo.;Collecchio, Madregolo;1;44.7520202;10.2166909;Collecchio, Parma, Emilia-Romagna, 43044, Italia
14;La testimonianza della donna che alle 7.30 del 20 dicembre è stata centrata dal mezzo dopo aver smontato dal turno di notte alla Città di Parma Nelle prime ore della mattinata del 20 dicembre un'infermiera di 33 anni, che lavora alla Città di Parma, è stata investita da un'auto nella zona di via Montebello a Parma, mentre stava attraversando sulle strisce pedonali che si trovano verso la pista pedonale del parco Bizzozzero.;Città di Parma, via Montebello, Bizzozzero;1;44.6119823;9.8042375;Lago di Città, Varsi, Parma, Emilia-Romagna, Italia
16;L'incidente si è verificato in località La Rampa, lungo la provinciale per Medesano Grave incidente poco prima delle ore 23 di martedì 20 dicembre in località La Rampa a Noceto, lungo la provinciale per Medesano.;La Rampa, Medesano, Noceto;1;44.7955717;10.171851;la Rampa, Noceto, Parma, Emilia-Romagna, 43015, Italia
17;L'incidente oggi pomeriggio all'altezza del Centro Torri Paura per un pedone investito da un'auto oggi pomeriggio intono alle 17 in via San Leonardo, all'altezza del Centro Torri.;Centro Torri, via San Leonardo;1;44.8230934;10.3380813;Centro Torri, Largo Fratelli Simonazzi, Cortile San Martino, San Martino, Parma, Emilia-Romagna, 43122, Italia
