articolo_id;articolo;localizzazione;tempo;grave;moto;utenti_deboli
1;Dall'investimento e uccisione di una donna brasiliana lungo la tangenziale, fino ai quattro morti sulle strade a cavallo tra Natale e Capodanno, dalla morte del sindaco di Soragna Matteo Concari a quella della 21enne Irene Montruccoli, deceduta in ospedale per un malore improvviso Dall'omicidio di Vitalie Sofroni, accoltellato a morte nel parcheggio di Gaione per aver cercato di difendere un'amica alla strage della via Emilia - il tragico schianto del 30 ottobre in cui hanno perso la vita 4 persone, tra cui tre bambini - all'investimento e uccisione di una donna brasiliana lungo la tangenziale, fino ai quattro morti sulle strade a cavallo tra Natale e Capodanno.;1;0;1;1;0
2;Poi la morte del sindaco di Soragna Matteo Concari, che ha avuto un malore durante una cerimonia pubblica e la morte della 21enne Irene Montruccoli, deceduta all'ospedale Maggiore di Parma per un malore improvviso.;0;0;1;0;1
3;Con il 2022 che sta per volgere al termine ecco i dieci fatti di cronaca più significativi dell'anno che stiamo per lasciarci alle spalle.;0;0;0;0;0
4;L'omicidio di Vitalie Sofroni La sera del 6 luglio il 40enne Vitalie Sofroni è statoaccoltellato a mortein un parcheggio di Gaione dal marito della donna che aveva cercato di difendere.;1;0;1;0;0
5;Un fatto di sangue che ha sconvolto la tranquilla comunità di Gaione.;0;0;0;0;0
6;La donna, che era scappata da casa per cercare di sottrarsi ai maltrattamenti del marito, aveva trovato ospitalità, insieme alla figlia piccola, proprio a casa di Vitalie.;1;0;0;0;0
7;La sera dell'omicidio il marito, un 25enne moldavo poi arrestato per omicidio, ha affrontato Vitalie con un grosso coltello da cucina e lo ha colpito a morte, lasciando il suo corpo sull'asfalto, per poi scappare con la figlioletta di soli 9 mesi.;1;0;1;0;1
8;La strage della via Emilia: muoiono una 22enne, suo figlio e i suoi due fratellini Domenica 30 ottobre una Fiat Stilo, guidata da un 30enne, si schianta contro un'abitazione lungo la via Emilia, tra Parma e Reggio Emilia.;1;0;1;0;1
9;Il bilancio è tragico:quattro morti,tra cui tre bambini.;0;0;1;0;1
10;Le vittime sono: Shane Hyseni, 22 anni, madre di Mattias Lame, 1 anno e mezzo, Rejana Hyseni, 8 anni e Resat Hyseni, 11 anni, sorella e fratello di Shane.;0;0;1;0;1
11;I due bambini vivevano a Parma e frequentavano le elementari dell'Istituto Comprensivo Albertelli-Newton.;0;0;0;0;0
12;Il conducente Orjol Lame, unico sopravvissuto e gravissimo in ospedale, risultato positivo ad alcol e droga e già arrestato due volte per reati legati allo spaccio, è stato poi indagato per omicidio stradale.;1;0;1;0;1
13;Donna transessuale investita e uccisa in tangenziale Sabato 15 ottobre Sabino Da Silva Marciliano, donna trans che stava effettuando un percorso di transizione di genere, è statainvestita e uccisada un'auto lungo la tangenziale Sud di Parma da un'auto poco prima dell'uscita di strada Argini.;1;0;1;0;1
14;Residente in Abruzzo la 35enne era ospite di una struttura di accoglienza di Parma: dopo un passato di violenza e di dipendenze era arrivata nella nostra città per uscire dal vortice e rifarsi una vita.;0;0;0;0;0
15;Una delle ipotesi è che la vittima stesse scappando da qualcuno: l'altra è che possa essere stata fatta scendere da un'auto che percorreva proprio la tangenziale Sud.;0;0;0;0;0
16;Irene Montruccoli, morta a 21 anni per un malore improvviso La 21enne Irene Montruccoli, residente ad Arceto di Scandiano, in provincia di Reggio Emilia, èmortanel pomeriggio di domenica 22 maggi all'Ospedale Maggiore di Parma, dopo il trasporto in elisoccorso in ospedale a seguito di un malore improvviso.;1;0;1;0;0
17;Da una settimana Irene aveva mal di testa: nella serata di sabato 21 maggio sarebbe stata sottoposta ad una tac all'ospedale di Santa Maria Nuova di Reggio Emilia.;0;0;0;0;0
18;La Procura ha aperto un’inchiesta per omicidio colposo, per ora a carico di ignoti.;0;0;0;0;0
19;La morte del sindaco di Soragna Matteo Concari per un malore Nella mattinata del 3 luglio il sindaco di SoragnaMatteo Concariè morto in seguito ad un malore che lo ha colpito all'improvviso mentre stava partecipando al raduno interregionale dei bersaglieri davanti alle Terme di Salsomaggiore.;1;0;1;0;0
20;Ad un certo punto, mentre era in corso la cerimonia, il sindaco, che portava la fascia tricolore come i colleghi, si è sentito male e si è accasciato a terra.;0;0;0;0;0
21;I sanitari sono intervenuti immediatamente ed hanno cercato di rianimarlo, praticando un massaggio cardiocircolatorio.;0;0;1;0;0
22;Per il 45enne non c'è stato nulla da fare: è deceduto.;0;0;0;0;0
23;Muore a 54 anni intrappolata nella sua casa divorata da un incendio Nel pomeriggio del 5 febbraioAnnamaria Pennini,54 anni, è morta dopo essere rimasta intrappolata al piano superiore della sua abitazione di Sissa Trecasali, dove erano in corso alcuni lavori di ristrutturazione.;1;0;1;0;1
24;Il marito è stato più fortunato, è riuscito a uscire dall’abitazione salvandosi.;0;0;0;0;0
25;E fino all’ultimo ha sperato che la donna - intrappolata nella casa che era dei genitori - potesse uscire viva da li.;0;0;0;0;0
26;La strage sulle strade tra Natale e Capodanno: quattro morti in sei giorni Dal 22 al 28 dicembre le strade del parmense sono state disseminate da incidenti stradali gravissimi, che hanno portato alla morte di quattro persone in sei giorni.;1;0;1;1;0
27;UnNatale da incuboiniziato con l'incidente alle ore 13 del 22 dicembre a Collecchio che ha portato alla morte dell'80enne Maria Teresa Bardini.;1;1;1;0;1
28;Poche ore dopo, alle ore 21 del 22 dicembre, a Viazzano nel comune di Varano dè Melegari: un altro scontro frontale che ha provocato la morte di una donna, la 47enne Monica Supercari.;1;0;1;0;1
29;Il terzo incidente mortale si è verificato nella notte tra il 23 e il 24 dicembre, verso le ore 3 e mezza a Parola di Fontanellato.;1;1;0;0;0
30;Il quarto incidente si è verificato alle ore 20 del 28 dicembre a Torrechiara:Tiziana Sanidi 63 anni ha perso la vita in seguito ad un violento tamponamento.;1;1;1;0;0
31;Via Guidotti, 76enne cade dal balcone del terzo piano e muore Nella tarda mattinata di giovedì 27 ottobre in via Mario Colombi Guidotti, nella zona della Crocetta a Parma.;1;1;1;0;0
32;Un76enne, che stava effettuando alcuni lavori di pulizia, è caduto dal balcone del terzo piano della sua abitazione.;0;0;0;0;0
33;L'uomo sarebbe scivolato accidentalmente dal balcone, proprio mentre era intento ad effettuare alcuni lavori.;0;0;0;0;0
34;Gianpaolo Damato, muore a 24 anni dopo lo schianto in autostrada Alle 5 di mattina del 13 novembre si è verificato un gravissimo incidente stradale in A1, che ha coinvolto due auto.;1;1;1;0;1
35;Sei giovani hanno riportato ferite gravissime:Gianpaolo Damato, un giovane di 24 anni è morto dopo il ricovero in condizioni critiche nel reparto di Rianimazione dell'Ospedale Maggiore di Parma.;0;0;1;0;1
36;Il ragazzo, originario di Foggia si era trasferito da poco nella nostra città per motivi di lavoro Si schianta in moto contro un camion in via Emilia: muore 44enne La mattina del 13 aprile gravissimo incidente lungo la via Emilia in località Il Moro.;1;0;0;1;1
37;Un motociclista 44enne residente a Noceto,Graziano Martorina, è stato sbalzato sull'asfalto ed è morto sul colpo.;1;0;1;1;0
38;I A scontrarsi, per cause in corso di accertamento da parte della Polizia locale, sono stati un camion e una moto.;1;0;0;1;0
39;Lo chef 43enne diplomato all'Istituto alberghiero Magnaghi di Salsomaggiore Terme è stato investito e ucciso nella notte di Natale tra Boretto e Viadana Un uomo di 60 anni, originario della provincia di Cosenza e residente in Svizzera, è stato arrestato dai carabinieri di Viadana con l'accusa di essere il conducente dell'auto pirata che ha investito e ucciso nella notte di Natale tra Boretto e ViadanaAndrea Lodi Rizzini, il cuoco 43enne diplomato all'Istituto alberghiero Magnaghi di Salsomaggiore Terme.;1;1;1;1;1
40;Secondo gli inquirenti alla guida del mezzo c'era il 60enne, individuato e arrestato dai carabinieri.;0;0;0;0;0
41;I militari della Compagnia di Viadana lo hanno individuato dall'esame delle telecamere della zona mentre al volante di una Bmw serie 1 con targa svizzera attraversava il ponte sul fiume tra Viadana e Boretto, a pochi metri di distanza da dove era stato trovato il cadavere dello chef, diretto verso Viadana L'auto, una Bmw serie 1 che sarebbe stata immatricolata tra il 2011 e il 2012, è passata nel punto in cui Andrea Lodi Rizzini è stato investito verso le ore 21.30, nei pressi del distributore dell'Eni a piedi del ponte tra Boretto e Viadana.;1;1;1;1;0
42;Secondo la ricostruzione degli inquirenti il cuoco 43enne avrebbe preso la bicicletta per andare da alcuni amici ma poi l'avrebbe abbandonata a bordo della strada (aveva una gomma a terra) per proseguire a piedi.;0;0;0;1;1
43;Sarebbe una Bmw bianca, l'appello dei carabinieri al conducente di presentarsi in caserma Sarebbe una Bmw serie 1 di colore bianco l'auto pirata che hainvestitoe ucciso Andrea Lodi Rizzini, il cuoco diplomato all'Istituto alberghiero Magnaghi di Salsomaggiore Terme, nella notte di Natale tra Boretto e Viadana.;1;0;0;0;0
44;I carabinieri, che stanno effettuando le indagini sotto il coordinamento della Procura di Mantova, infatti, hanno individuato il veicolo grazie alle immagini delle telecamere in zona.;1;0;0;0;0
45;L'auto, una Bmw serie 1 che sarebbe stata immatricolata tra il 2011 e il 2012, è passata nel punto in cui Andrea Lodi Rizzini è stato investito verso le ore 21.30, nei pressi del distributore dell'Eni a piedi del ponte tra Boretto e Viadana.;1;1;0;0;0
46;Secondo la ricostruzione degli inquirenti il cuoco 43enne avrebbe preso la bicicletta per andare da alcuni amici ma poi l'avrebbe abbandonata a bordo della strada (aveva una gomma a terra) per proseguire a piedi.;0;0;0;1;1
47;I carabinieri di Viadana lanciano un appello al conducente del veicolo di presentarsi in caserma.;0;0;0;0;0
48;La vittima Tiziana Sani è stata estratta dai vigili del fuoco di Langhirano.;1;0;1;0;0
49;Ferita un'altra persona in modo non grave Gravissimo incidente nella serata di mercoledì 28 dicembre a Torrechiara, poco prima delle ore 20.;1;1;0;0;0
50;Un tamponamento tra due auto si è trasformato in tragedia.;0;0;1;0;0
51;Una donna di 63 anni, Tiziana Sani, è deceduta nello scontro tra le vetture, mentre un 36enne, alla guida dell'altra auto, è rimasto ferito in modo non grave.;1;0;1;0;1
52;Sul posto l'ambulanza di Langhirano e l'automedica della Croce Azzurra di Traversetolo.;1;0;0;0;0
53;Sul posto anche i vigili del fuoco di Langhirano, che hanno estratto la vittima dall'auto.;1;0;1;0;1
54;Presenti anche i carabinieri per i rilievi e per stabilire la dinamica dell'incidente, apparso immediatamente gravissimo.;1;0;1;1;0
55;Secondo le prime informazioni l'incidente sarebbe avvenuto vicino al prosciuttificio Fumagalli.;1;0;0;0;0
56;L'auto a bordo della quale viaggiava la 63enne sarebbe stata tamponata, per cause in corso di accertamento, dall'auto guidata dal 36enne.;1;0;0;0;0
57;Il veicolo condotto dalla donna si sarebbe poi ribaltato per poi finire fuori strada.;0;0;0;1;0
58;I soccorritori non hanno potuto fare altro che constatare il decesso della donna: la parte anteriore dell'auto si è completamente accartocciata.;1;0;1;0;0
59;L'incidente si è verificato verso le ore 7: sul posto le ambulanze e i vigili del fuoco Nella mattinata di mercoledì 28 dicembre due auto si sono scontrate nel territorio del comune di Solignano.;1;1;0;0;0
60;Erano da poco passate le ore 7 quando, per cause in corso di accertamento, i due veicoli sono venuti a contatto.;0;0;0;0;0
61;In seguito all'impatto una delle due auto si è ribaltata.;0;0;0;0;0
62;Sul posto, oltre ai soccorritori del 118, anche i vigili del fuoco e gli agenti della polizia locale, che hanno effettuato i rilievi previsti per legge.;1;0;0;0;0
63;Secondo le prime informazioni due persone sarebbero rimaste ferite: una avrebbe riportato traumi lievi mentre l'altra ferite di media gravità.;0;0;1;0;0
64;Tra le ore 13 del 22 dicembre e le 3 di notte del 24 dicembre tre persone sono decedute in seguito a tre incidenti stradali a Collecchio, Viazzano e Parola di Fontanellato Tre morti in meno di 48 ore.;1;0;0;0;1
65;E' questo il tragico bilancio degli incidenti stradali che si sono verificati a ridosso delle festività natalizie, tra il 22 e la notte tra il 23 e il 24 dicembre nel parmense.;1;0;0;1;0
