latitudine;longitudine;grave
44.7980534;10.3376603;1
44.7995804;10.3043311;1
44.8034155;10.3245413;1
44.8032184;10.3067831;1
44.7961199;10.3474614;1
44.8017713;10.3044388;1
44.7891435;10.3412870;1
44.8167300;10.2690035;1
44.8351997;10.3082831;1
44.7950470;10.3271122;1
44.8091527;10.3255022;1
44.8087960;10.3288308;0.5
44.8182427;10.2461048;0.5
44.8145055;10.2638704;1
44.7997918;10.3160072;1
44.7930084;10.3508923;1
44.7938934;10.3165712;0.5
44.8592134;10.3440343;1
44.7884836;10.3696587;1
44.7677850;10.3231921;1
44.7986143;10.3202189;0.5
44.8098384;10.3145842;0.5
44.7950349;10.3210306;1
44.8260211;10.3658285;1
44.8118564;10.3170657;1
44.7934967;10.3130896;0.5
44.7869092;10.3793294;0.5
44.7977154;10.3157072;1
44.8059784;10.3047481;0.5
44.7660934;10.3227492;1
44.7726783;10.4160456;1
44.8047861;10.3117197;1
44.7874294;10.3724861;1
44.8392391;10.3485685;1
44.7997838;10.3212489;1
44.7855794;10.3589374;1
44.8309224;10.3402093;1
44.7981369;10.3414204;0.5
44.7959375;10.3350783;1
44.7984954;10.3243482;1
44.8033833;10.3532476;0.5
44.8071384;10.3537398;1
44.8007065;10.3136522;1
44.8022464;10.3044111;1
44.7927324;10.3247322;1
44.8044734;10.3131662;0.5
44.8198145;10.2821180;1
NULL;NULL;0.5
44.7950804;10.3274302;1
44.8064196;10.2835370;1
44.8062023;10.3296489;1
44.7940354;10.3178632;1
44.7680554;10.3233262;1
44.7810459;10.3136515;0.5
44.8594522;10.3440624;1
44.7877192;10.3002887;1
44.8049175;10.3258945;1
44.8274104;10.3434593;1
44.8120314;10.3147892;1
44.8120737;10.3229132;0.5
44.7672593;10.3131285;1
44.8267014;10.3373343;0.5
44.8099065;10.2865080;1
44.7898064;10.3255927;1
44.8155215;10.2889391;0.5
44.7773659;10.3455678;1
44.7885384;10.3176832;0.5
44.8382252;10.3078700;1
44.7932982;10.3558722;0.5
44.7823280;10.2972290;1
44.7869524;10.3366753;0.5
44.8127174;10.3390628;1
44.8112044;10.3305572;0.5
44.8018844;10.3134302;1
44.7985768;10.3203088;1
44.8221883;10.2263034;1
44.7747373;10.3287537;0.5
44.8086714;10.3144552;1
44.7945642;10.3218832;1
44.8039944;10.3141462;0.5
44.8081081;10.3323078;1
44.8285317;10.3947937;1
44.8074834;10.3293892;1
NULL;NULL;0.5
44.7987860;10.3382688;1
44.7954198;10.3363034;0.5
44.8066878;10.3538645;0.5
44.7809708;10.3593376;1
44.7745864;10.3225242;1
44.7647488;10.2968743;1
44.7961354;10.3354763;0.5
44.7720900;10.3240511;1
44.7938894;10.3030341;1
44.8058402;10.3353586;0.5
44.8054647;10.3033921;1
44.8064640;10.2945136;1
44.8127754;10.3371863;1
44.8228454;10.2245378;1
44.7753944;10.3307030;1
44.8056334;10.3046091;1
44.7988644;10.3151462;1
44.7897255;10.3386135;0.5
44.8155954;10.3326632;0.5
44.7660934;10.3227492;1
44.7871039;10.3224617;1
44.7536230;10.3589111;1
44.8147794;10.3133512;0.5
44.7869467;10.2986365;1
44.8554611;10.3594744;1
44.8137065;10.2677530;1
44.7998584;10.3384413;1
44.7951650;10.3278357;1
44.8160085;10.3431109;0.5
44.8084688;10.3297501;0.5
44.7812834;10.3230752;0.5
44.8304314;10.3679074;1
44.8030184;10.3150312;1
44.8187255;10.3627359;1
44.8065684;10.3260112;1
44.8031374;10.3492783;1
44.8099065;10.2865080;1
44.8036730;10.3169801;1
44.7872564;10.3507993;1
44.8009364;10.3150702;1
44.7890093;10.2858377;1
44.8026634;10.3168102;0.5
44.8052716;10.3094807;1
44.7874617;10.3358186;1
44.8671734;10.3465913;1
44.7745864;10.3225242;1
44.8017659;10.3043905;1
44.8038768;10.3141075;0.5
44.7726783;10.4160456;1
44.8197662;10.2813691;1
44.7850564;10.3238262;1
44.7934155;10.2882030;1
44.7990124;10.3379513;0.5
44.7991647;10.3207606;1
44.8079684;10.3131862;1
44.8076014;10.3280662;1
44.7965324;10.3043811;0.5
44.8021234;10.3243342;1
44.8014025;10.3506094;0.5
44.7948904;10.3257232;1
44.8120374;10.3131242;1
44.8099065;10.2865080;1
44.7912490;10.3184486;0.5
44.8099065;10.2865080;1
44.8114594;10.3545233;1
44.7948904;10.3257232;1
44.7861528;10.3059408;0.5
44.8084899;10.2940559;1
44.7946104;10.3216022;1
44.7817647;10.2908876;0.5
44.8134577;10.3310175;1
44.8000339;10.3154657;1
44.7887277;10.3292519;1
44.7961354;10.3354763;1
44.7942584;10.3178552;1
44.7620834;10.3301182;1
44.8113864;10.3259292;0.5
44.8437291;10.3644056;1
44.8049175;10.3149095;1
44.7998584;10.3384413;1
44.8085761;10.3177553;1
44.8061914;10.3113482;1
44.8186314;10.3620064;1
44.7457480;10.2716213;1
44.7945964;10.3084614;0.5
44.7443699;10.3118811;1
44.8046252;10.3135181;0.5
44.7883522;10.3705210;1
44.7849554;10.3136162;0.5
44.7236251;10.3055620;1
44.8295715;10.2751950;1
44.8665555;10.2547199;1
44.7944524;10.3274677;1
44.8110115;10.3464093;1
44.7987864;10.3536593;1
44.8091174;10.3246642;1
44.8133826;10.3341999;1
44.8044734;10.3131662;1
44.8304314;10.3679074;0.5
44.8318898;10.3310886;0.5
44.8124324;10.3332793;0.5
44.8060704;10.3051841;1
44.7885604;10.3579743;1
44.7948904;10.3257232;1
44.8075364;10.3406333;1
44.8206165;10.3333798;0.5
44.8468664;10.3465223;1
44.8095800;10.3321519;0.5
44.7933438;10.3555885;1
44.8105341;10.3303677;1
44.8351675;10.3382266;1
44.8113763;10.3162613;1
44.7848934;10.3107281;1
44.8112429;10.3308287;0.5
44.7953034;10.3104021;1
44.7579514;10.3198402;1
44.8185974;10.3324673;1
44.8061835;10.3361995;0.5
44.8235750;10.3413587;1
44.8193544;10.3287552;0.5
44.7965264;10.3419413;1
44.8202705;10.3266468;0.5
44.7182544;10.3564243;1
44.7988128;10.3271893;1
44.8080825;10.3143945;1
44.8060884;10.3123982;0.5
NULL;NULL;1
44.8051434;10.3545913;1
44.8004734;10.3176372;1
44.8111594;10.3162862;0.5
44.8085492;10.3175260;0.5
44.7646804;10.3525943;1
44.7726783;10.4160456;1
44.7984954;10.3243482;1
44.8121970;10.2756962;1
44.8049784;10.3382023;1
44.7862404;10.3333572;1
44.7850564;10.3238262;0.5
44.8131204;10.3276382;1
44.8091340;10.3606022;1
44.7995960;10.3322781;0.5
44.7807455;10.3925138;1
44.7954976;10.3058114;1
44.7611546;10.3210812;1
44.8107534;10.3304412;1
44.8065684;10.3260112;0.5
44.7911524;10.3075173;1
44.7979674;10.3258812;0.5
44.7941964;10.3095981;0.5
44.8091125;10.2903485;1
44.7808313;10.3203597;1
44.8242934;10.3363333;1
44.8074578;10.2957758;1
44.8066054;10.3026491;1
44.8260934;10.3451603;1
44.7934804;10.3129702;1
44.7998974;10.3354273;0.5
44.7995804;10.3043311;1
44.7915869;10.3249020;1
44.8149731;10.3013757;1
44.8042544;10.3247612;1
44.7759711;10.3283742;1
44.7660818;10.3193331;0.5
44.7890934;10.3412333;0.5
44.7951596;10.3046406;1
44.7811829;10.3913625;1
44.7959004;10.3361153;1
44.7913894;10.3379598;1
44.7956746;10.3139640;1
44.7792004;10.3969975;1
44.7936074;10.3545163;1
44.8258066;10.3881230;1
44.7988128;10.3377538;1
44.7865554;10.3545023;0.5
44.8145544;10.3288882;1
44.7825264;10.3309947;1
44.7948904;10.3257232;1
44.8230034;10.3352813;1
44.8120307;10.3146654;1
44.7501468;10.3166985;1
44.8352014;10.3441403;1
44.7794151;10.3962635;1
44.7863179;10.3594759;1
44.7862506;10.3807472;0.5
44.7862601;10.3362622;0.5
44.8002234;10.3338612;1
44.8242934;10.3363333;1
44.8673272;10.3466883;1
44.7755098;10.3059656;1
44.7982944;10.3211212;1
44.8142516;10.3072813;0.5
44.8074454;10.3307272;0.5
44.7961804;10.3178802;1
44.7936634;10.3259522;1
44.7916299;10.3043456;1
44.7736415;10.3477975;1
44.7993664;10.3056041;1
44.8126530;10.3457978;0.5
44.7944134;10.3436193;1
44.7935771;10.3548207;1
44.7792004;10.3969975;1
44.8061245;10.3051395;0.5
44.7991561;10.3289857;1
44.7938934;10.3165712;0.5
44.8086814;10.3181655;0.5
44.7784388;10.3150489;1
44.8091214;10.3421273;1
44.8084607;10.3165892;1
44.8131787;10.2957464;1
44.8083964;10.3297582;1
44.7763466;10.3305950;1
44.8166714;10.3090581;1
44.7937434;10.3545934;1
44.7544598;10.3583961;1
44.7885214;10.3708314;1
44.7956294;10.3361593;1
44.7885854;10.3692984;0.5
44.8065684;10.3260112;1
44.8221105;10.3346727;1
44.7998240;10.3486255;1
