frase;localizzazione_benchmark;localizzazione_risultato;tempo_benchmark;tempo_risultato;grave_benchmark;grave_risultato;moto_benchmark;moto_risultato;utenti_deboli_benchmark;utenti_deboli_risultato
intorno alle 13, per cause ancora in corso d'accertamento, un camion si è ribaltato e il suo conducente è stato trasportato al pronto soccorso di fidenza in condizioni gravi;0;1;1;1;1;1;0;1;0;1
i primi soccorsi sono arrivati dagli uomini del 118;0;0;0;0;1;0;0;0;0;0
grave incidente a baganzola di parma nel primo pomeriggio;1;1;0;0;1;0;0;1;0;0
intorno alle 15:10, per cause ancora in corso d'accertamento, un furgone e un'auto si sono scontrati in tangenziale;0;1;1;1;0;0;0;0;0;0
un impatto violento che ha provocato l'uscita di strada del furgone, precipitato in un secondo momento in un viadotto a ridosso della strada ;0;1;0;0;1;1;0;0;0;0
i soccorritori del 118 hanno ritrovato il mezzo nel cortile di un'azienda;0;1;0;0;0;0;0;0;0;0
l'autista, soccorso da un'ambulanza, ha riportato ferite di media gravità ed è stato trasportato al pronto soccorso di parma ;0;0;0;0;1;0;0;0;0;0
nell'impatto sarebbe rimasto ferito anche il conducente dell'auto;0;0;0;0;1;0;0;0;0;1
nella mattinata di oggi, domenica 26 febbraio, si è verificato un incidente stradale che ha coinvolto anche un'ambulanza ma che non ha provocato, fortunatamente, feriti gravi;0;1;1;1;0;0;0;0;0;1
la dinamica è in corso di ricostruzione da parte della polizia locale il mezzo, impegnato in un servizio di trasporto, si è scontrato con un'auto che stava percorrendo la stessa via;0;1;0;1;0;0;0;0;0;0
per cause in corso di accertamento il conducente di un'auto ha perso il controllo del veicolo, che è andato a sbattere contro il guardrail;0;1;0;0;0;0;0;0;0;0
in conseguenza dell'impatto l'auto è rimasta danneggiata ed il conducente ha riportato ferite di una certa gravità in varie parti del corpo;0;1;0;0;1;1;0;0;0;0
si è schiantato contro un'auto che si trovava in sosta lungo via fleming;1;1;0;0;0;0;0;1;0;0
il conducente di un'auto è stato coinvolto in un incidente stradale nella tarda serata di giovedì 23 febbraio;0;1;1;1;0;0;0;0;0;0
erano da poco passate le ore 2230 quando, per cause in corso di accertamento, il conducente del veicolo ha perso il controllo del mezzo ed è finito contro un'auto parcheggiata;0;1;1;1;0;0;0;0;0;0
sul posto sono arrivati i soccorritori del 118 che hanno prestato le prime cure all'uomo per poi trasportarlo al pronto soccorso dell'ospedale maggiore di parma;0;1;0;0;0;1;0;0;0;0
grave incidente stradale alle ore 23 di giovedì 23 febbraio lungo l'autostrada a1;1;1;1;1;1;0;0;0;0;0
lo scontro è stato particolarmente violento ed è avvenuto all'altezza del chilometro 116 in direzione milano, tra i caselli di parma e di terre di canossa/campegine ;1;1;0;1;1;0;0;0;0;0
secondo le prime informazioni due persone sarebbero rimaste ferite ed avrebbero riportato traumi di una certa gravità in varie parti del corpo;0;0;0;0;1;1;0;0;0;1
sul posto le ambulanze del 118 e i vigili del fuoco e le pattuglie della polizia stradale;0;1;0;0;0;0;0;0;0;0
 il tratto autostradale è stato chiuso e poi riaperto alle 430 di stamattina;0;1;0;0;0;0;0;0;0;0
per causa in corso di accertamento il conducente di un'auto ha perso il controllo del veicolo, che si è ribaltato;0;0;0;0;0;0;0;1;0;0
sul posto sono arrivati i soccorritori del 118 e la polizia stradale;0;1;0;0;0;0;0;0;0;0
momenti di paura nella mattinata di mercoledì 22 febbraio a fidenza per lo scontro, avvenuto verso le ore 620, tra un'auto e una bicicletta;1;1;1;1;0;0;0;0;1;0
nelle prime ore della mattinata infatti i due mezzi sono venuti a contatti in via caduti di cefalonia;1;1;1;0;0;0;0;0;0;0
l'allarme è scattato da subito e sul posto l'ambulanza infermieristica di fidenza, che ha trasportato il ferito al pronto soccorso dell'ospedale di vaio di fidenza;0;1;0;0;1;1;0;0;0;0
sul posto anche le forze dell'ordine, che hanno effettuato i rilievi previsti per legge e gestito il traffico in zona;0;1;0;0;0;0;0;0;0;0
È morto il ciclista investito sabato mattina a monticelli terme da un'auto;1;1;0;0;1;1;0;0;1;0
la vittima è il ciclomotore 85enne domenico vernamonte;0;0;0;0;1;0;1;0;0;0
l'uomo, che si trovava a bordo della sua bicicletta quando, in corrispondenza di una rotonda, è stato centrato dal veicolo, è deceduto poco dopo il ricovero d'urgenza nel reparto di rianimazione dell'ospedale maggiore di parma;0;1;0;0;1;1;0;0;1;0
grave incidente stradale nel primo pomeriggio di domenica 19 febbraio lungo strada argini, all'altezza di basilicanova;1;1;1;1;1;0;0;0;0;0
per cause in corso di accertamento due auto si sono scontrate: l'impatto è stato violento e i due mezzi sono stati danneggiati nella parte anteriore;0;1;0;0;1;0;0;0;0;0
l'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118, che hanno prestato le prime cure ad uno dei conducenti, per poi trasportarlo al pronto soccorso dell'ospedale maggiore di parma;0;1;0;0;0;1;0;0;0;1
paura nella serata di venerdì 17 febbraio a borghetto di noceto;1;1;1;0;0;0;0;0;0;0
per cause in corso di accertamento un'auto, un'alfa romeo stelvio, si è schiantata contro il cancello di un'abitazione mentre stava percorrendo strada santa margherita;1;1;0;0;1;0;0;0;0;0
erano da poco passate le 2230 quando il conducente ha perso il controllo del veicolo, che è andato a finire contro il cancello, colpendo anche un muretto e un palo;0;1;1;1;0;1;0;1;0;1
paura lungo via montanara, nella zona di gaione, nella mattinata di giovedì 16 febbraio;1;1;1;0;0;0;0;0;0;0
l'impatto tra i veicoli è stato particolarmente violento: due persone sono rimaste ferite;0;0;0;0;1;0;0;0;0;1
sul posto i soccorritori del 118, oltre alla polizia locale che ha effettuato i rilievi previsti per legge;0;1;0;0;0;0;0;1;0;0
secondo le prime informazioni i due feriti avrebbero riportato ferite gravi, una delle due in particolare si troverebbe in condizioni serie;0;0;0;0;1;1;0;1;0;0
i conducenti di due auto sono stati trasportati al pronto soccorso dell'ospedale maggiore di parma;0;0;0;0;0;1;0;0;0;0
grave incidente nella mattinata di martedì 14 febbraio lungo via europa, nella zona di moletolo;1;1;1;1;1;0;0;0;0;0
per cause in corso di accertamento una renault captur si è ribaltata ed è finita fuori strada;0;1;0;0;0;0;0;0;0;0
erano da poco passate le ore 815 quando il conducente ha perso il controllo del mezzo, che si è poi capovolto;0;0;1;0;0;0;0;1;0;0
l'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118, oltre alla polizia stradale;0;1;0;0;0;0;0;1;0;0
il conducente e il passeggero sono stati medicati sul posto dai sanitari del 118 e poi trasportati al pronto soccorso dell'ospedale maggiore di parma;0;1;0;0;0;1;0;0;0;0
grave incidente stradale nella mattinata di giovedì 9 febbraio in località basilicagoiano, frazione del comune di montechiarugolo;1;1;1;0;1;0;0;0;0;0
secondo le prime informazioni verso le ore 740 un'auto, che stava percorrendo la strada provinciale, è finita fuori strada;0;1;1;0;0;0;0;0;0;0
momenti di paura nella mattinata di giovedì 9 febbraio in via fratelli rosselli a collecchio;1;1;1;0;0;0;0;0;0;0
erano da poco passate le ore 8 quando, per cause in corso di accertamento, un pedone è stato investito da un'auto mentre stava attraversando la strada;0;0;1;1;1;0;0;0;1;0
l'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118, oltre alla polizia locale;0;1;0;0;0;0;0;0;0;0
sul posto anche la polizia locale per i rilievi previsti per legge;0;1;0;0;0;0;0;0;0;0
secondo le prime informazioni le sue condizioni di salute sarebbero di media gravità;0;0;0;0;1;0;0;0;0;0
secondo le prime informazioni nell'incidente, che si è verificato tra parma e il tratto reggiano, sarebbero rimaste coinvolte cinque persone, che sarebbero rimaste ferite;1;1;0;0;1;0;0;0;0;0
paura nelle prime ore della mattinata di venerdì 3 febbraio a san secondo;1;0;1;0;0;0;0;0;0;0
per cause in corso di accertamento un pedone, che si trovava in via cesare battisti, è stato investito da un'auto, che sopraggiungeva proprio in quel momento;1;1;0;0;0;0;0;0;1;0
l'impatto tra il veicolo e il pedone è stato violento e sul posto sono arrivati i soccorritori del 118, oltre alla polizia locale;0;1;0;0;1;0;0;0;1;0
secondo le prime informazioni la persona ferita avrebbe riportato traumi di media gravità: dopo le prime cure sul posto sarebbe stato trasportato al pronto soccorso dell'ospedale maggiore di parma;0;1;0;0;0;1;0;0;0;0
migliorano le condizioni di salute del bambino di 10 anni investito  da un'auto nel pomeriggio del 31 dicembre a barbiano di felino;1;1;1;1;0;0;0;0;1;0
sessanta giorni di prognosi per le fratture che ha riportato in varie parti del corpo;0;0;0;0;1;0;0;0;0;0
È questo il bollettino medico del bambino - che compirà dieci anni a fine mese - ricoverato da ieri pomeriggio al pronto soccorso dell'ospedale maggiore di parma dopo lo scontro tra la sua bicicletta e un'auto;0;1;0;0;0;1;0;1;1;1
ancora da stabilire la dinamica dell'incidente avvenuto oggi pomeriggio, 31 gennaio, intorno alle 17;0;1;1;0;0;0;0;0;0;0
grave incidente stradale poco dopo le ore 7 di martedì 31 gennaio lungo viale partigiani d'italia a parma;1;1;1;1;1;1;0;1;0;0
grave incidente stradale nel tardo pomeriggio di lunedì 30 gennaio lungo viale mentana a parma;1;1;1;1;1;0;0;1;0;0
ad avere la peggio il conducente dello scooter che è caduto rovinosamente sull'asfalto, provocandosi ferite in varie parti del corpo;0;0;0;0;0;1;1;1;0;1
sul posto i soccorritori del 118 che hanno prestato le prime cure all'uomo di origine straniera per poi trasportarlo a sirene spiegate al pronto soccorso dell'ospedale maggiore di parma;0;1;0;0;1;1;0;0;0;0
secondo le prime informazioni le sue condizioni di salute sarebbero gravi;0;0;0;0;1;0;0;0;0;0
sul posto anche la polizia locale per i rilievi previsti per legge;0;1;0;0;0;0;0;0;0;0
e' stata disposta una perizia psichiatrica nei confronti del 30enne orjol lame, conducente dell'auto che il 30 ottobre si è schiantata contro un'abitazione lungo la via emilia, tra parma e reggio emilia, provocando la morte di quattro persone, la moglie 22enne, il figlio di un anno e 4 mesi e il fratello e la sorella minori della moglie, di 11 e 9 anni;1;1;1;0;1;1;0;0;0;1
code di 2 chilometri in aumento in direzione bologna e traffico in tilt -  anche lungo le tangenziale e nei pressi della rotonda di fianco al casello di parma - in seguito ad un incidente stradale che si è verificato lungo l'autostrada a1, tra parma e terre di canossa, nelle prime ore della mattinata di giovedì 26 gennaio;1;1;1;1;0;1;0;1;0;0
lo scontro tra due auto non ha provocato feriti gravi ma la viabilità ne ha risentito: lungo il tratto interessato sono segnalati due chilometri di coda;0;1;0;0;0;0;0;0;0;0
traffico in tilt anche nei pressi della rotonda di accesso al casello di parma;0;1;0;0;0;0;0;0;0;0
l'incidente è avvenuto al chilometro 111: sono in corso le operazioni di recupero dei mezzi coinvolti;1;1;0;1;0;0;0;0;0;0
alle 1530 di oggi, martedì 24 gennaio, si registrano disagi al traffico lungo la via emilia;1;1;1;0;0;0;0;0;0;0
